event_id,time_epoch,magnitude,place,latitude,longitude,depth_km,updated_epoch,alert,status,timestamp,is_mainshock,aftershock_of_event_id,dt_days,dr_km
ci3249246,821117938820,2.66,"20km NNE of Ridgecrest, California",35.79,-117.62,2.686,1455239077781,,reviewed,1996-01-08 16:18:58.820000+00:00,False,,,
ci3249252,821119019580,3.08,"18km N of Ridgecrest, California",35.779,-117.639,4.426,1455311592752,,reviewed,1996-01-08 16:36:59.580000+00:00,False,,,
ci3249261,821121411860,2.7,"20km N of Ridgecrest, California",35.797,-117.637,4.296,1455239080398,,reviewed,1996-01-08 17:16:51.860000+00:00,False,,,
ci3249327,821121428690,2.58,"20km W of Searles Valley, California",35.8,-117.621,5.946,1455302578599,,reviewed,1996-01-08 17:17:08.690000+00:00,False,,,
ci3249512,821136240570,2.8,"16km N of Ridgecrest, California",35.766,-117.649,4.726,1455329752618,,reviewed,1996-01-08 21:24:00.570000+00:00,False,,,
ci3249348,821140835970,3.64,"16km N of Ridgecrest, California",35.762,-117.645,2.446,1455220077132,,reviewed,1996-01-08 22:40:35.970000+00:00,False,,,
ci3249415,821164595280,2.68,"17km N of Ridgecrest, California",35.774,-117.639,4.396,1455320637519,,reviewed,1996-01-09 05:16:35.280000+00:00,False,,,
ci3249460,821184130870,2.61,"20km N of Ridgecrest, California",35.796,-117.639,4.436,1455347925936,,reviewed,1996-01-09 10:42:10.870000+00:00,False,,,
ci3249513,821184215610,2.9,"20km N of Ridgecrest, California",35.795,-117.639,4.206,1455248040955,,reviewed,1996-01-09 10:43:35.610000+00:00,False,,,
ci3249479,821193813280,3.3,"18km N of Ridgecrest, California",35.775,-117.639,4.546,1455357149260,,reviewed,1996-01-09 13:23:33.280000+00:00,False,,,
ci3249505,821206465690,2.59,"29km N of Searles Valley, California",36.026,-117.42,0.296,1455274317436,,reviewed,1996-01-09 16:54:25.690000+00:00,False,,,
ci3249510,821208092340,2.79,"17km N of Ridgecrest, California",35.77,-117.652,4.796,1455338950479,,reviewed,1996-01-09 17:21:32.340000+00:00,False,,,
ci3249578,821221717320,3.13,"16km NNE of Ridgecrest, California",35.761,-117.634,4.646,1455229977382,,reviewed,1996-01-09 21:08:37.320000+00:00,False,,,
ci3249757,821295886480,2.5,"29km N of Searles Valley, California",36.028,-117.417,0.986,1455239111953,,reviewed,1996-01-10 17:44:46.480000+00:00,False,,,
nc30094082,821329116130,3.31,"0 km SE of Avenal, California",36.0011667,-120.1265,16.458,1482557644550,,reviewed,1996-01-11 02:58:36.130000+00:00,False,,,
ci3249895,821341662880,2.94,"18km N of Ridgecrest, California",35.782,-117.639,2.826,1455248052773,,reviewed,1996-01-11 06:27:42.880000+00:00,False,,,
ci3250003,821341683310,2.5,"19km N of Ridgecrest, California",35.791,-117.647,2.795,1455347944062,,reviewed,1996-01-11 06:28:03.310000+00:00,False,,,
ci3249896,821341813860,3.06,"13km NNE of Ridgecrest, California",35.733,-117.631,4.75,1455293063587,,reviewed,1996-01-11 06:30:13.860000+00:00,False,,,
ci3249897,821341980880,3.05,"18km N of Ridgecrest, California",35.784,-117.637,4.386,1455283489869,,reviewed,1996-01-11 06:33:00.880000+00:00,False,,,
ci3249899,821344827230,3.23,"13km NNE of Ridgecrest, California",35.728,-117.621,10.26,1455357162444,,reviewed,1996-01-11 07:20:27.230000+00:00,False,,,
